opportunity_id,vertical,op_part
2195,scaffolding,0.1067
2195,painting,0.8932
19027,custom,0.0753
19027,scaffolding,0.2022
19027,paint_outside_items,0.2737
19027,lacquering,0.4488
23831,painting,0
24043,painting,0.1816
24043,wallpapering,0.8183
24516,scaffolding,0.0946
24516,exterior_painting,0.9055
24859,lacquering,1
31793,painting,1
33046,scaffolding,0.1081
33046,exterior_painting,0.2102
33046,exterior_plastering,0.6817
35155,laminate,1
35155,painting,0
44826,paint_outside_items,0.1135
44826,custom,0.1869
44826,lacquering,0.6996
46903,painting,0
52059,painting,0.2031
52059,wallpapering,0.7969
62997,wallpapering,0
64356,custom,0
65113,painting,0
65170,painting,0
65454,painting,-0.0003
100450,wallpapering,1
101294,painting,0.0769
101294,custom,0.9231
101919,custom,0
101919,painting,0
102751,wallpapering,0.455
102751,painting,0.5449
103418,wallpapering,0
103418,painting,0
104316,wallpapering,1
104859,custom,0
104859,painting,0
104859,lacquering,0
106880,custom,0.1554
106880,lacquering,0.2089
106880,painting,0.6357
107278,parquet,-1.28
107278,laminate,1
108796,lacquering,1
108998,painting,1
109399,wallpapering,0.3984
109399,painting,0.6015
109407,custom,1
109516,painting,1
110298,parquet,1
110602,custom,1
111181,custom,0.084
111181,plastering,-0.6491
111181,painting,0.809
111592,custom,0.2991
111592,wallpapering,0.7009
111951,parquet,1
112037,lacquering,1
112416,pvc,0
112416,painting,1
112427,painting,0.4891
112427,custom,0.5109
112622,custom,-0.0418
112622,painting,1.0418
113246,plastering,0
113293,carpet,1
113535,custom,-0.0753
113535,painting,1.0752
113557,parquet,0
113707,carpet,0
113710,painting,0
114441,custom,0.0922
114441,laminate,0.9078
115697,constructional_plastering,1
115760,custom,-0.1111
115760,painting,1.1111
115874,custom,1
116118,custom,1
116311,custom,-0.0753
116311,wallpapering,0.1659
116311,painting,0.9096
116379,painting,1
116417,painting,1
116773,painting,1
116894,custom,0.182
116903,painting,0.2262
116929,painting,1
118287,painting,0.3281
118287,wallpapering,0.672
118328,custom,0
118328,painting,0
118497,custom,0
118925,painting,0.3311
118925,wallpapering,0.6689
119019,custom,0
119019,wallpapering,0
119204,custom,1
119784,painting,0.313
119784,wallpapering,0.687
120243,plastering,1
121094,laminate,1
121466,custom,0.0157
121466,painting,0.1101
121466,lacquering,0.8741
121517,painting,1
121518,painting,1
121710,laminate,0.3023
121710,custom,0.6977
121851,parquet,0
121908,custom,1
121932,custom,-0.0753
121932,painting,1.0753
122109,pvc,1
122159,custom,-0.0753
122159,painting,0.3214
122159,wallpapering,0.7538
122189,custom,-0.0359
122189,painting,0.3585
122189,lacquering,0
122554,custom,-0.1111
122554,lacquering,1.1111
122737,painting,1
122899,painting,-0.347
122899,wallpapering,-0.877
122899,custom,1.0857
122930,painting,0
122930,custom,0
123012,lacquering,0.2237
123012,painting,0.2537
123012,wallpapering,0.5226
123151,custom,0
123221,custom,0.2645
123283,custom,0.3897
123283,painting,0.6103
123507,laminate,0.1267
123643,painting,0
123643,custom,0.7403
123791,custom,0
123791,laminate,0
123951,laminate,-1.0689
123951,painting,1
124222,painting,0.431
124222,custom,0.569
124310,custom,0.3972
124310,painting,0.6028
124389,wallpapering,1
124470,lacquering,1
124664,wallpapering,1
124683,custom,-1.0012
124683,painting,1
124697,lacquering,1
124850,painting,1
124898,custom,0
124898,painting,0
124998,painting,0.2086
124998,custom,0.7915
125041,painting,1
125096,custom,0.0638
125096,painting,0.3706
125096,wallpapering,0.5657
125126,custom,1
125137,laminate,0.3271
125169,painting,1
125182,custom,1
125185,lacquering,1
125198,painting,1
125438,lacquering,1
125496,painting,1
125533,laminate,1
125621,custom,0.071
125621,laminate,0.9289
125666,laminate,0
125679,parquet,1
125691,lacquering,1
125753,laminate,1
125769,laminate,1
125804,painting,1
125830,lacquering,0.0165
125830,wallpapering,0.3525
125830,painting,0.6309
125833,painting,0.381
125833,parquet,0.6191
125860,floor_tiling,0.11
125864,lacquering,0.4913
125864,painting,0.5087
125868,custom,1
125893,painting,0.3321
125893,custom,0.6679
125919,painting,1
125983,custom,0.0641
125983,painting,0.0848
126088,custom,1
126195,parquet,1
126307,custom,1
126357,custom,1
126464,plastering,1
126475,custom,1
126544,scaffolding,0.2049
126544,exterior_painting,0.7951
126577,painting,1
126634,parquet,-1.139
126634,custom,0.0748
126634,painting,-0.0689
126679,carpet,0.0839
126679,custom,0.9161
126765,lacquering,-0.8332
126765,custom,0.0833
126765,painting,1
127080,custom,0.2941
127080,painting,0.706
127107,painting,1
127174,laminate,1
127335,parquet,1
127342,custom,0.0317
127342,lacquering,0.5477
127353,custom,0.0743
127353,wallpapering,-1.0613
127353,laminate,0.0307
127363,lacquering,1
127385,custom,1
127429,custom,0
127429,painting,0
127468,carpet,1
127472,lacquering,0.1049
127472,custom,0.2531
127479,custom,1
127519,custom,0.0654
127519,wallpapering,0.0389
127519,laminate,0.1494
127560,painting,0.3817
127560,custom,0.6183
127562,custom,0.4639
127562,carpet,0.536
127603,painting,1
127730,painting,0.2257
127730,wallpapering,0.2657
127730,constructional_plastering,0.5087
127737,custom,0
127798,painting,1
127806,custom,1
127872,wallpapering,0.0345
127872,painting,0.9655
127883,custom,0.0443
127883,parquet,0.9558
127915,painting,0.3549
127915,wallpapering,0.6451
127992,lacquering,1
128030,painting,1
128057,painting,1
128064,painting,1
128137,painting,1
128272,lacquering,0.2213
128272,painting,0.2837
128272,plastering,0.4951
128327,painting,1
128329,custom,0.2631
128329,carpet,0.1194
128379,laminate,1
128449,lacquering,1
128505,pvc,1
128513,custom,1
128575,pvc,1
128577,painting,1
128594,wallpapering,1
128595,plastering,1
128641,wallpapering,0.2495
128641,painting,0.7506
128698,plastering,0
128829,custom,1
128862,laminate,1
128933,painting,0.1005
128952,custom,0
129217,painting,0.0681
129217,lacquering,0.932
129249,lacquering,1
129394,lacquering,1
129515,painting,1
129597,custom,1
129787,wallpapering,1
129805,vinyl,1
129837,custom,1
129886,painting,0.0785
129886,plastering,0.172
129886,parquet,0.7496
129898,custom,0.1838
129898,lacquering,0.8162
129910,lacquering,1
130018,wallpapering,1
130217,painting,1
130286,wallpapering,0.4294
130286,plastering,0.5706
130292,lacquering,1.0001
130313,painting,0.4714
130313,wallpapering,0.5287
130483,custom,1
130535,lacquering,1
130578,painting,1
130651,painting,-1.1161
130699,painting,0.2735
130699,custom,0.7265
130742,lacquering,1
130935,painting,1
130941,custom,1
130953,parquet,0.4848
130953,painting,0.5152
130954,laminate,1
130977,painting,1
130988,painting,1
131047,painting,0.3369
131047,laminate,0.663
131058,custom,0
131077,painting,0.4224
131077,wallpapering,0.5775
131179,custom,0.1924
131179,plastering,0
131179,painting,-0.0954
131205,painting,0.4028
131205,wallpapering,0.5972
131343,custom,0
131364,custom,1
131398,custom,1
131402,custom,0
131432,custom,0.1174
131432,painting,0.3331
131432,wall_tiling,0.5495
131465,painting,1
131474,painting,1
131495,laminate,1
131505,laminate,1
131506,custom,0.4895
131506,painting,0.5104
131572,laminate,1
131581,custom,0.082
131581,vinyl,0.1765
131581,wallpapering,0.7415
131602,custom,0.0977
131602,painting,0.9023
131603,parquet,1
131633,custom,1
131675,wallpapering,0.1079
131675,painting,0.8921
131690,wallpapering,-0.3705
131690,custom,0.0516
131690,lacquering,-0.0724
131690,painting,0.7057
131751,custom,0.0867
131751,laminate,0.9133
131772,custom,0
131772,lacquering,0
131772,painting,0
131875,carpet,0.2623
131875,painting,0.2861
131875,custom,0.4516
131879,painting,0.3511
131879,wallpapering,0.6489
131952,custom,0.0837
131952,laminate,0.9164
132183,painting,1
132284,custom,1.0001
132350,parquet,1
132352,custom,-0.8478
132352,painting,1
132365,custom,0
132365,painting,-5.55111512312578e-17
132365,wallpapering,1
132429,painting,0.9999
132442,painting,0.1008
