opportunity_id,verticals,vertical_count
1836,plastering,1
1991,lacquering | painting | plastering,3
2189,painting,1
2400,painting,1
2857,painting,1
2944,lacquering | painting,2
2948,painting,1
3490,painting | wallpapering,2
3644,lacquering | painting,2
3698,painting,1
3797,lacquering | painting | plastering,3
3826,lacquering | painting,2
4334,painting,1
4354,painting,1
4499,lacquering | painting,2
4565,painting,1
4576,painting,1
4744,painting,1
4819,painting,1
4823,painting,1
4911,painting,1
5313,plastering,1
5336,painting,1
5479,painting,1
5797,painting,1
6102,painting,1
6662,painting,1
6992,painting,1
7323,painting,1
8600,lacquering,1
8688,painting,1
8729,painting,1
8762,painting,1
9107,painting,1
9171,painting,1
9334,lacquering,1
9408,painting,1
9679,painting,1
9829,painting,1
10024,painting,1
10110,painting,1
10494,painting,1
10531,lacquering | painting,2
10742,painting,1
10814,painting,1
11056,painting,1
11085,painting,1
11357,painting | wallpapering,2
11380,lacquering,1
11479,painting,1
11527,lacquering,1
11960,painting,1
12052,painting,1
12487,lacquering | painting | wallpapering,3
12867,lacquering | painting | plastering | wallpapering,4
12911,painting,1
12998,lacquering,1
13586,painting,1
13588,painting,1
13889,lacquering,1
14024,painting,1
14032,lacquering,1
14063,painting,1
14118,painting,1
14193,painting,1
14378,lacquering | painting,2
14389,painting,1
14391,painting,1
14737,lacquering | painting,2
14869,painting,1
15464,painting,1
15613,lacquering,1
15626,painting,1
15709,painting,1
15807,painting,1
15946,lacquering | painting,2
15966,painting,1
16213,painting,1
17210,painting,1
17387,plastering,1
17414,lacquering | painting,2
17798,painting | plastering | wallpapering,3
18011,painting,1
18096,painting,1
18379,painting,1
18471,painting,1
18579,painting,1
18677,lacquering,1
18680,painting,1
18692,lacquering | painting,2
18701,painting,1
18719,painting,1
18725,painting,1
18728,custom,1
18729,painting,1
18733,lacquering | painting | wallpapering,3
18742,plastering,1
18751,painting,1
18752,lacquering,1
18771,lacquering,1
18778,painting,1
18838,painting,1
18845,painting,1
18872,painting,1
18885,painting,1
18889,painting | wallpapering,2
18894,painting,1
18921,lacquering | painting | wallpapering,3
18933,painting,1
18942,custom,1
18957,painting,1
18970,painting,1
18973,painting,1
18989,lacquering | painting,2
19001,lacquering | painting,2
19027,custom | lacquering | paint_outside_items | scaffolding,4
19074,painting,1
19115,painting,1
19118,custom,1
19173,custom,1
19244,painting,1
19252,lacquering,1
19264,painting,1
19282,painting,1
19296,painting,1
19298,painting,1
19330,painting,1
19366,lacquering,1
19399,painting,1
19414,painting,1
19426,painting,1
19437,painting,1
19450,painting,1
19498,painting,1
19622,painting | wallpapering,2
19676,painting,1
19877,painting | plastering,2
19942,painting,1
20012,painting,1
20051,painting,1
20053,painting,1
20058,custom,1
20062,painting,1
20067,lacquering,1
20091,painting,1
20134,painting | plastering,2
20137,painting,1
20143,painting,1
20270,painting,1
20276,painting,1
20289,custom,1
20294,painting | wallpapering,2
20321,custom,1
20333,painting,1
20360,painting,1
20370,painting,1
20391,painting,1
20409,lacquering,1
20430,painting,1
20431,lacquering,1
20441,painting,1
20449,painting,1
20474,painting | wallpapering,2
20615,painting,1
20626,painting,1
20681,painting,1
20755,custom,1
20780,painting,1
20795,painting | plastering,2
20801,painting,1
20803,lacquering | painting,2
20808,painting,1
20818,painting,1
20823,painting,1
20840,painting,1
20908,painting,1
20920,painting,1
20954,painting,1
20976,painting,1
21004,painting,1
21143,painting,1
21163,lacquering,1
21208,painting,1
21226,painting,1
21231,painting,1
21249,painting | wallpapering,2
21322,lacquering | painting,2
21350,lacquering,1
21381,painting,1
21429,painting,1
21572,wallpapering,1
21613,lacquering,1
21640,lacquering,1
21808,lacquering,1
21840,lacquering | painting,2
21877,painting | wallpapering,2
21879,painting,1
21880,painting | plastering | wallpapering,3
21917,painting,1
21966,painting,1
21971,custom,1
22079,painting | wallpapering,2
22096,painting,1
22105,painting,1
22127,painting,1
22148,painting,1
22157,painting,1
22171,painting,1
22174,painting,1
22175,lacquering | painting | wallpapering,3
22199,custom,1
22204,lacquering | painting,2
22207,painting,1
22230,painting | wallpapering,2
22246,wallpapering,1
22260,painting,1
22267,painting,1
22317,painting,1
22323,wallpapering,1
22508,painting,1
22765,painting | wallpapering,2
22786,custom,1
22828,painting,1
22839,painting,1
22899,wallpapering,1
22912,painting,1
22958,painting | wallpapering,2
929,lacquering | painting,2
1196,lacquering,1
2195,painting | scaffolding,2
2300,lacquering | painting,2
2511,painting,1
2593,lacquering | painting,2
2650,painting,1
3011,lacquering | painting | wallpapering,3
3122,painting,1
3202,painting,1
3274,lacquering | painting | plastering,3
3364,painting,1
3757,lacquering,1
3761,lacquering | painting | wallpapering,3
4172,lacquering | painting,2
4196,painting,1
4261,painting,1
4340,painting,1
4382,painting,1
4449,painting,1
4613,painting | plastering,2
4690,painting,1
5078,painting | wallpapering,2
5659,painting,1
5928,lacquering,1
6506,painting,1
6507,painting,1
6654,painting | plastering,2
6740,lacquering | painting,2
6975,painting,1
7013,painting,1
7036,painting,1
7060,painting,1
7608,lacquering,1
7880,lacquering | painting,2
7914,painting,1
7931,painting,1
8145,lacquering | painting,2
8167,lacquering | painting | plastering,3
8391,painting,1
8484,painting,1
8787,lacquering | painting,2
8874,painting,1
9104,painting,1
9124,painting,1
9227,painting,1
9685,painting,1
10092,painting,1
10126,painting,1
10350,lacquering,1
10501,painting,1
10583,lacquering | painting | wallpapering,3
11371,painting,1
11704,painting,1
11825,painting,1
12054,painting,1
12150,painting,1
12169,lacquering | painting,2
12194,painting,1
12412,painting,1
12914,painting,1
12931,lacquering,1
12987,painting,1
13146,painting,1
13503,lacquering | painting,2
13866,lacquering | painting,2
13933,painting,1
13964,painting,1
14056,painting,1
14319,painting,1
14361,lacquering | painting | plastering,3
14495,painting,1
14703,lacquering,1
15001,painting,1
15831,painting,1
15917,painting,1
15978,painting,1
16207,lacquering,1
16318,painting,1
16406,lacquering,1
16926,painting,1
16977,painting,1
17404,painting,1
17730,painting,1
17894,painting,1
18035,lacquering,1
18043,lacquering,1
18424,painting,1
18554,painting,1
18650,lacquering,1
18657,painting,1
18663,plastering,1
18664,painting,1
18668,painting,1
18669,painting,1
18673,painting,1
18689,painting | wallpapering,2
18711,painting,1
18732,custom,1
18744,painting,1
18757,lacquering,1
18763,painting,1
18773,painting,1
18795,painting,1
18811,painting,1
18812,lacquering,1
18832,painting | plastering,2
18836,painting,1
18868,painting,1
19002,lacquering | painting,2
19016,painting,1
19117,painting,1
19162,lacquering,1
19181,painting,1
19187,painting,1
19193,wallpapering,1
19203,custom,1
19226,lacquering | painting,2
19228,lacquering,1
19272,painting,1
19297,painting,1
19299,lacquering,1
19324,lacquering | painting,2
19343,painting,1
19353,painting,1
19362,painting,1
19370,custom,1
19371,painting,1
19387,lacquering | painting,2
19413,painting,1
19424,lacquering | painting | plastering | wallpapering,4
19434,painting,1
19447,custom,1
19773,painting,1
19847,painting,1
19876,plastering,1
19973,painting,1
